date,provider,service,env,team,cost,currency
2025-10-01,aws,EC2,prod,team-a,120.50,USD
2025-10-01,aws,S3,prod,team-a,45.20,USD
2025-10-01,gcp,BigQuery,staging,team-b,80.00,USD
2025-10-02,aws,EC2,prod,team-a,118.30,USD
2025-10-02,aws,S3,prod,team-a,47.10,USD
2025-10-02,gcp,BigQuery,staging,team-b,75.00,USD
2025-10-03,aws,EC2,prod,team-a,121.00,USD
2025-10-03,aws,S3,prod,team-a,50.80,USD
2025-10-03,gcp,BigQuery,staging,team-b,77.10,USD
2025-10-04,aws,EC2,prod,team-a,119.80,USD
2025-10-04,aws,S3,prod,team-a,46.20,USD
2025-10-04,gcp,BigQuery,staging,team-b,82.30,USD
2025-10-05,aws,EC2,prod,team-a,122.40,USD
2025-10-05,aws,S3,prod,team-a,49.10,USD
2025-10-05,gcp,BigQuery,staging,team-b,78.60,USD
2025-10-06,aws,EC2,prod,team-a,123.00,USD
2025-10-06,aws,S3,prod,team-a,51.30,USD
2025-10-06,gcp,BigQuery,staging,team-b,79.90,USD
2025-10-07,aws,EC2,prod,team-a,124.10,USD
2025-10-07,aws,S3,prod,team-a,52.40,USD
2025-10-07,gcp,BigQuery,staging,team-b,81.20,USD
2025-10-08,aws,EC2,prod,team-a,125.30,USD
2025-10-08,aws,S3,prod,team-a,53.50,USD
2025-10-08,gcp,BigQuery,staging,team-b,83.10,USD
